empID,FName,LName,Sex,Salary,JobTitle,Country,BirthDate,HireDate
120101,Patrick,Lu,M,163040,Director,AU,18-Aug-76,1-Jul-03
120104,Kareen,Billington,F,46230,Administration Manager,au,11-May-54,1-Jan-81
120105,Liz,Povey,F,27110,Secretary I,AU,21-Dec-74,1-May-99
120106,John,Hornsey,M,unknown,Office Assistant II,AU,23-Dec-44,1-Jan-74
120107,Sherie,Sheedy,F,30475,Office Assistant III,AU,1-Feb-78,21-Jan-53
120108,Gladys,Gromek,F,27660,Warehouse Assistant II,AU,23-Feb-84,1-Aug-06
120108,Gabriele,Baker,F,26495,Warehouse Assistant I,AU,15-Dec-86,1-Oct-06
120110,Dennis,Entwisle,M,28615,Warehouse Assistant III,AU,20-Nov-49,1-Nov-79
120111,Ubaldo,Spillane,M,26895,Security Guard II,AU,23-Jul-49,99NOV1978
120112,Ellis,Glattback,F,26550, ,AU,17-Feb-69,1-Jul-90
120113,Riu,Horsey,F,26870,Security Guard II,AU,10-May-44,1-Jan-74
120114,Jeannette,Buddery,G,31285,Security Manager,AU,8-Feb-44,1-Jan-74
120115,Hugh,Nichollas,M,2650,Service Assistant I,AU,8-May-84,1-Aug-05
.,Austen,Ralston,M,29250,Service Assistant II,AU,13-Jun-59,1-Feb-80
120117,Bill,Mccleary,M,31670,Cabinet Maker III,AU,11-Sep-64,1-Apr-86
120118,Darshi,Hartshorn,M,28090,Cabinet Maker II,AU,3-Jun-59,1-Jul-84
120119,Lal,Elleman,M,30255,Electrician IV,AU,21-Dec-69,1-Jan-98
120120,Krishna,Peiris,F,27645,Electrician II,AU,5-May-44,1-Jan-74
120190,Ivor,Czernezkyi,M,24100,Trainee,AU,5-Dec-84,1-Nov-04
120191,Jannene,Graham-Rowe,F,2401,Trainee,AU,17-Jan-59,1-Jan-03
120192,Anthony,Nichollas,M,26185,Trainee,AU,8-May-84,1-Jun-05
120193,Russell,Streit,M,24515,Trainee,AU,6-Dec-84,1-Sep-05
120194,Reece,Harwood,M,25985,Trainee,AU,23-Sep-84,1-Feb-05
120195,Jina,Fiocca,F,24990,Trainee,AU,25-Dec-84,1-Jul-06
120196,Merle,Hieds,F,24025,Trainee,AU,31-Jan-84,1-Jan-03
120197,Kerrin,Dillin,F,25580,Trainee,AU,8-Aug-54,1-Jan-03
120259,Anthony,Miller,M,433800,Chief Executive Officer,US,25-Jan-64,1-Sep-89
120260,Christine,Fletcher,F,207885,Chief Marketing Officer,US,2-Dec-64,1-Nov-84
120262,Max,Crown,M,268455,Chief Financial Officer,US,21-Oct-69,1-Sep-88
120263,Bobby,Cleverley,M,42605,Financial Analyst III,US,10-Feb-64,1-Oct-83
120264,Latonya,Croome,F,37510,Financial Analyst II,US,23-Jan-84,1-Dec-06
120265,Wanda,Branly,F,51950,Auditor III,US,4-Oct-44,1-Jan-74
120266,Bao,Krafve,F,31750,Secretary IV,US,1-Jul-69,1-Apr-89
120267,Belanda,Rink,F,28585,Secretary III,US,2-Jun-86,1-Feb-03
120268,Jacques,Villeneuve,M,76105,Senior Strategist,US,1-Sep-74,1-May-97
120269,Shrimatee,Kagolanu,F,52540,Strategist II,US,27-Sep-44,1-Jan-74
120270,Grezegorz,Nuss,M,48435,Concession Director,US,25-Mar-54,1-Jan-74
120271,Kenisha,Winge,F,43635,Concession Manager,US,6-Aug-64,1-Sep-86
120272,Febin,Flow,M,34390,Concession Consultant II,US,15-Mar-44,1-Jan-74
120273,Doris,Antonini,F,28455,Concession Assistant III,US,7-Jun-86,1-Mar-06
120274,Angela,Landry,F,26840,Concession Assistant I,US,9-Jan-64,1-Dec-93
120275,Brandy,Lattimer,F,32195,Concession Consultant II,US,27-Dec-59,1-Oct-84
120276,Nicholas,Plybon,M,28090,Concession Assistant II,US,16-Dec-44,1-Jan-74
120277,Wesley,Shirts,F,32645,Concession Consultant I,US,16-Aug-88,1-May-04
120278,Binit,Jongleux,M,27685,Concession Assistant III,US,17-Dec-86,1-Aug-06
120279,Kareema,Dunlap,F,32925,Concession Consultant I,US,20-Oct-69,1-May-96
120280,Jaime,Laurer,F,36930,Concession Consultant III,US,11-Nov-64,1-May-88
120656,Salley,Amos,F,42570,Logistics Coordinator II,US,28-Jan-74,1-Mar-99
