empID,FName,LName,Sex,Salary,JobTitle,Country,BirthDate,HireDate
120102,Tom,Zhou,M,"$108,255 ",Sales Manager,AU,11-Aug-69,6/1/89
120103,Wilson,Dawes,M,87975,Sales Manager,AU,22-Jan-49,1/1/74
120121,Irenie,Elvish,F,26600,Sales Rep. II,AU,2-Aug-44,1/1/74
120122,Christina,Ngan,F,27475,Sales Rep. II,AU,27-Jul-54,7/1/78
120123,Kimiko,Hotstone,F,26190,Sales Rep. I,AU,28-Sep-64,10/1/85
120124,Lucian,Daymond,M,26480,Sales Rep. I,AU,13-May-59,3/1/79
120125,Fong,Hofmeister,M,32040,Sales Rep. IV,AU,6-Dec-54,3/1/79
120126,Satyakam,Denny,M,26780,Sales Rep. II,AU,20-Sep-88,8/1/06
120127,Sharryn,Clarkson,F,28100,Sales Rep. II,AU,4-Jan-79,11/1/98
120128,Monica,Kletschkus,F,30890,Sales Rep. IV,AU,14-Jul-86,11/1/06
120129,Alvin,Roebuck,M,30070,Sales Rep. III,AU,22-Nov-64,10/1/85
120130,Kevin,Lyon,M,26955,Sales Rep. I,AU,14-Dec-84,5/1/06
120131,Marinus,Surawski,M,26910,Sales Rep. I,AU,25-Sep-79,1/1/03
120132,Fancine,Kaiser,F,28525,Sales Rep. III,AU,5-Apr-49,10/1/78
120133,Petrea,Soltau,F,27440,Sales Rep. II,AU,22-Apr-86,10/1/06
120134,Sian,Shannan,M,28015,Sales Rep. II,AU,6-Jun-49,1/1/74
120135,Alexei,Platts,M,32490,Sales Rep. IV,AU,26-Jan-69,10/1/97
120136,Atul,Leyden,M,26605,Sales Rep. I,AU,16-Sep-79,2/1/03
120137,Marina,Iyengar,F,29715,Sales Rep. III,AU,12-Mar-79,3/1/06
120138,Shani,Duckett,F,25795,Sales Rep. I,AU,11-Jul-79,7/1/06
120139,Fang,Wilson,F,26810,Sales Rep. II,AU,18-Aug-86,9/1/06
120140,Michael,Minas,M,26970,Sales Rep. I,AU,3-Aug-88,10/1/06
120141,Amanda,Liebman,F,27465,Sales Rep. II,AU,12-Mar-88,5/1/06
120142,Vincent,Eastley,M,29695,Sales Rep. III,AU,14-Jun-86,7/1/06
120143,Phu,Sloey,M,26790,Sales Rep. II,AU,17-May-59,10/1/82
120144,Viney,Barbis,M,30265,Sales Rep. III,AU,7-Mar-86,10/1/06
120145,Sandy,Aisbitt,M,26060,Sales Rep. II,AU,22-Jan-64,6/1/85
120146,Wendall,Cederlund,M,25985,Sales Rep. I,AU,2-Oct-59,8/1/80
120147,Skev,Rusli,F,26580,Sales Rep. II,AU,19-Jan-88,10/1/06
